time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.231103,-0.0049,-0.0066,0.0058,0.010
1.231821,-0.0143,0.0053,0.0152,0.021
1.247261,-0.0045,0.0124,-0.0039,0.014
1.252174,0.0028,0.0170,-0.0039,0.018
1.261943,-0.0165,-0.0260,-0.1686,0.171
1.279802,0.0241,-0.0158,-0.4059,0.407
1.282572,0.0170,0.0104,0.0081,0.022
1.295351,-0.0045,-0.0063,-0.0485,0.049
1.303420,-0.0114,-0.0131,0.0064,0.019
1.312588,-0.0159,-0.0011,-0.0054,0.017
1.328571,-0.0086,0.0036,0.0017,0.009
1.332620,-0.0015,-0.0081,-0.0007,0.008
1.346824,-0.0015,0.0085,0.0064,0.011
1.353159,0.0033,0.0037,-0.0008,0.005
1.362450,0.0126,0.0130,0.0110,0.021
1.380021,-0.0088,0.0291,0.0108,0.032
1.382292,0.0029,0.0050,0.0201,0.021
1.401444,0.0003,0.0002,-0.0014,0.001
1.402064,0.0005,0.0049,0.0151,0.016
1.421756,0.0074,-0.0000,0.0172,0.019
1.422584,-0.0092,-0.0070,-0.0090,0.015
1.432864,0.0141,-0.0186,-0.0089,0.025
1.447740,-0.0147,-0.0065,0.0784,0.080
1.452400,-0.0513,0.0010,-0.0548,0.075
1.464629,0.0226,0.0202,-0.1409,0.144
1.481242,0.0151,0.0176,0.0333,0.041
1.482429,0.0123,0.0315,0.0115,0.036
1.499509,0.0002,0.0050,0.0255,0.026
1.502566,0.0024,0.0024,0.0133,0.014
1.517143,0.0048,0.0092,-0.0011,0.010
1.532310,-0.0045,0.0139,0.0036,0.015
1.533411,0.0121,0.0160,-0.0035,0.020
1.550232,-0.0093,0.0087,0.0083,0.015
1.553668,-0.0070,-0.0009,0.0200,0.021
1.565643,0.0072,-0.0034,0.0126,0.015
1.581840,-0.0072,-0.0055,-0.0018,0.009
1.583008,-0.0027,0.0063,-0.0206,0.022
1.599780,-0.0000,0.0133,-0.1215,0.122
1.612865,0.0206,0.0273,0.5280,0.529
1.614855,-0.0530,0.0009,0.1166,0.128
1.624165,-0.0075,-0.0156,-0.0054,0.018
1.633522,-0.0052,-0.0037,-0.0030,0.007
1.644703,0.0017,0.0012,-0.0241,0.024
1.653323,0.0087,0.0153,-0.0001,0.018
1.663211,-0.0196,0.0009,0.0140,0.024
1.678700,-0.0145,-0.0014,0.0161,0.022
1.682959,-0.0169,-0.0038,-0.0030,0.018
1.695453,-0.0143,-0.0107,0.0088,0.020
1.703400,-0.0141,-0.0104,-0.0102,0.020
1.713061,-0.0185,-0.0125,0.0324,0.039
1.729385,-0.0093,0.0346,0.6698,0.671
1.734570,-0.0593,-0.0014,0.1101,0.125
1.749474,0.0168,-0.0061,-0.0047,0.019
1.753257,0.0164,0.0151,0.0119,0.025
1.765351,0.0181,0.0102,-0.0189,0.028
1.786594,-0.0129,0.0077,-0.0139,0.020
1.787698,-0.0057,-0.0089,-0.0208,0.023
1.804382,-0.0010,-0.0064,-0.0228,0.024
1.805484,0.0060,-0.0204,-0.0247,0.033
1.817991,-0.0085,0.0059,0.0016,0.010
1.833249,-0.0251,0.0059,-0.0267,0.037
1.834389,-0.0035,-0.0105,-0.0168,0.020
1.847410,0.0129,-0.0150,-0.0071,0.021
1.854639,0.0078,-0.0148,-0.0047,0.017
1.866788,0.0008,0.0021,-0.0281,0.028
1.884413,-0.0202,-0.0024,-0.0983,0.100
1.885543,-0.0089,-0.0191,-0.1437,0.145
1.898425,0.0056,-0.0186,-0.5062,0.507
1.904974,0.0104,-0.0159,0.0060,0.020
1.918848,-0.0156,-0.0227,-0.0412,0.050
1.932444,-0.0202,-0.0080,0.0395,0.045
