time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.240245,-0.0147,-0.0093,-0.0179,0.025
1.250472,0.0241,0.0198,0.0213,0.038
1.260212,0.0335,0.0002,0.0213,0.040
1.270226,0.0040,0.0097,0.0017,0.011
1.280211,-0.0056,0.0191,-0.0178,0.027
1.290668,0.0138,-0.0005,-0.0570,0.059
1.300583,-0.0439,0.0282,0.0115,0.053
1.310401,-0.0045,0.0277,0.0213,0.035
1.320400,-0.0334,-0.0017,0.0311,0.046
1.330367,-0.0325,-0.0018,0.0017,0.033
1.340307,-0.0031,0.0268,-0.0080,0.028
1.350878,0.0256,0.0261,0.0017,0.037
1.360512,-0.0228,-0.0032,0.0115,0.026
1.370458,-0.0031,-0.0322,0.0213,0.039
1.380258,-0.0127,-0.0027,0.0115,0.017
1.391150,0.0162,-0.0027,0.0115,0.020
1.400359,-0.0130,-0.0414,0.0213,0.048
1.410552,0.0257,0.0172,0.0311,0.044
1.420262,0.0156,-0.0119,0.0213,0.029
1.430515,0.0251,-0.0117,0.0213,0.035
1.440250,0.0054,-0.0211,0.0115,0.025
1.451118,-0.0139,-0.0015,0.0115,0.018
1.460310,0.0346,-0.0113,-0.0276,0.046
1.470365,0.0341,-0.0208,-0.0178,0.044
1.480305,-0.0143,-0.0012,0.0017,0.014
1.490447,-0.0044,0.0083,0.0115,0.015
1.500386,0.0148,0.0082,0.0115,0.020
1.510363,0.0145,0.0177,-0.0080,0.024
1.520284,-0.0049,-0.0017,-0.0276,0.028
1.530568,0.0046,0.0079,-0.0080,0.012
1.540307,0.0140,0.0174,0.0116,0.025
1.550582,-0.0247,-0.0020,0.0116,0.027
1.560313,0.0141,0.0173,0.0116,0.025
1.570447,-0.0150,-0.0021,0.0214,0.026
1.580263,0.0236,-0.0495,0.0017,0.055
1.593143,-0.0152,-0.0005,0.0213,0.026
1.600973,-0.0147,-0.0004,0.0017,0.015
1.610529,0.0047,0.0186,0.0017,0.019
1.620431,-0.0240,-0.0297,0.0115,0.040
1.630473,-0.0042,0.0093,0.0115,0.015
1.640345,-0.0041,-0.0196,0.0115,0.023
1.650534,0.0054,0.0096,0.0213,0.024
